Measurement Date,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,Measurement Day,Measurement Month,Measurement Year,Measurement Hour,Latitude,Longitude,class
2019-05-08,24.383333333333336,2.92375,0.120125,3.7083333333333335,11.033333333333333,5.0,8.0,2019.0,11.5,41.894328,-87.613083,0
2019-05-09,17.12608695652174,2.772173913043478,0.19091304347826088,4.260869565217392,10.673913043478262,5.0,9.0,2019.0,11.391304347826088,41.894328,-87.613083,0
2019-05-22,22.2,0.0,0.016,2.0,12.7,22.0,5.0,2019.0,15.0,41.894328,-87.613083,0
2019-05-24,13.0375,1.2375,0.169875,3.0,11.525,24.0,5.0,2019.0,15.5,41.894328,-87.613083,0
2019-05-25,14.645833333333334,0.985,0.14120833333333335,3.5833333333333335,11.6,25.0,5.0,2019.0,11.5,41.894328,-87.613083,0
2019-05-26,14.891666666666666,0.9091666666666667,0.129625,4.291666666666667,11.512500000000001,26.0,5.0,2019.0,11.5,41.894328,-87.613083,0
2019-05-27,14.454166666666667,0.8270833333333334,0.16004166666666667,3.2916666666666665,11.379166666666668,27.0,5.0,2019.0,11.5,41.894328,-87.613083,0
2019-05-28,14.279166666666667,1.1620833333333334,0.20970833333333336,4.291666666666667,11.275,28.0,5.0,2019.0,11.5,41.894328,-87.613083,0
2019-05-29,14.3375,1.6416666666666666,0.20666666666666667,4.75,11.199999999999998,29.0,5.0,2019.0,11.5,41.894328,-87.613083,0
2019-05-30,15.104166666666666,1.035,0.16279166666666667,3.9583333333333335,11.108333333333333,30.0,5.0,2019.0,11.5,41.894328,-87.613083,0
2019-05-31,16.004166666666666,0.8991666666666666,0.15262499999999998,3.875,11.1,31.0,5.0,2019.0,11.5,41.894328,-87.613083,0
2019-06-06,15.94090909090909,0.4677272727272727,0.19372727272727275,3.272727272727273,10.627272727272727,6.0,6.0,2019.0,10.636363636363637,41.894328,-87.613083,0
2019-06-07,20.958333333333332,2.0470833333333336,0.24216666666666667,4.041666666666667,11.633333333333333,6.0,7.0,2019.0,11.5,41.894328,-87.613083,0
2019-06-08,23.954166666666666,4.31125,0.186875,3.6666666666666665,10.958333333333334,6.0,8.0,2019.0,11.5,41.894328,-87.613083,0
2019-06-09,16.991666666666667,6.316666666666666,0.19275,3.75,10.6,6.0,9.0,2019.0,11.5,41.894328,-87.613083,1
2019-06-13,15.033333333333333,5.880833333333334,0.307625,6.208333333333333,12.029166666666667,13.0,6.0,2019.0,11.5,41.894328,-87.613083,1
